user_id,item_id,rating
0,10,5
0,12,4
0,15,3
0,20,5
0,25,4
1,11,4
1,14,5
1,18,3
1,22,4
1,30,5
2,10,3
2,12,5
2,19,4
2,23,5
2,28,4
3,13,4
3,15,5
3,21,3
3,26,4
3,32,5
4,10,5
4,11,4
4,16,5
4,19,3
4,29,4
5,14,4
5,18,5
5,20,3
5,24,4
5,33,5
6,12,5
6,15,4
6,22,3
6,27,5
6,34,4
7,13,3
7,19,4
7,25,5
7,28,3
7,35,4
8,10,4
8,16,5
8,21,4
8,29,3
8,30,5
9,11,5
9,18,4
9,23,5
9,26,4
9,32,3
10,12,5
10,15,4
10,20,3
10,24,4
10,36,5
11,13,4
11,17,5
11,22,3
11,28,5
11,34,4
12,10,3
12,19,5
12,21,4
12,25,5
12,30,4
13,11,4
13,16,5
13,23,3
13,26,4
13,35,5
14,12,5
14,18,4
14,24,3
14,29,5
14,36,4
15,13,3
15,20,5
15,22,4
15,27,5
15,32,3
16,10,5
16,14,4
16,19,3
16,25,5
16,33,4
17,11,3
17,17,5
17,21,4
17,28,3
17,34,5
18,12,4
18,18,5
18,22,3
18,26,4
18,35,5
19,13,5
19,15,4
19,20,5
19,29,3
19,36,4